Bear ID,Time,Period,Treatment,PropDev,DistDev
F10 ,Post,night,control,0.184566438,35
M17 ,Pre,night,AC     ,0.185361981,40.31128693
F10 ,Post,night,control,0.185361981,40
F05 ,Pre,night,control,0.187748611,35
F05 ,Post,night,control,0.187748611,35
M17 ,Pre,day  ,AC     ,0.190930784,57.00876999
M17 ,Post,day  ,AC     ,0.190930784,57.00876999
F05 ,Pre,day  ,control,0.1949085,0
M28 ,Pre,day  ,AC     ,0.1949085,55
M17 ,Post,day  ,AC     ,0.1949085,55
F05 ,Post,night,control,0.199681759,33.54101944
F13 ,Post,night,AC     ,0.21002388,42.42640686
M17 ,Post,day  ,AC     ,0.216388226,55
F04 ,Pre,day  ,AC     ,0.217183769,32.01562119
F04 ,Post,day  ,AC     ,0.217183769,32.01562119
M17 ,Pre,night,AC     ,0.231503606,20
F13 ,Pre,day  ,AC     ,0.243436754,7.07106781
M17 ,Post,day  ,AC     ,0.243436754,7.07106781
F13 ,Post,day  ,AC     ,0.248210013,35
M17 ,Pre,night,AC     ,0.249005556,43.0116272
M17 ,Post,day  ,AC     ,0.252187729,15.81138802
F10 ,Pre,night,control,0.26014322,32.01562119
F10 ,Post,day  ,control,0.261734307,32.01562119
F10 ,Post,day  ,control,0.261734307,32.01562119
F13 ,Post,night,AC     ,0.26252985,40
F13 ,Pre,day  ,AC     ,0.263325393,40
F13 ,Pre,day  ,AC     ,0.268098652,40
F04 ,Pre,day  ,AC     ,0.276054084,50.2493782
F13 ,Pre,day  ,AC     ,0.283213973,35
M17 ,Post,day  ,AC     ,0.284009576,50.2493782
F13 ,Pre,day  ,AC     ,0.285600662,30
F10 ,Pre,day  ,control,0.287191749,0
F10 ,Post,day  ,control,0.287191749,0
F13 ,Post,night,AC     ,0.287987292,35
F04 ,Post,night,AC     ,0.29753381,18.02775574
F13 ,Post,day  ,AC     ,0.29753381,35
F04 ,Post,night,AC     ,0.303898156,18.02775574
M28 ,Pre,night,AC     ,0.305489242,35
F13 ,Pre,day  ,AC     ,0.310262501,30
M17 ,Pre,day  ,AC     ,0.313444734,25
F10 ,Post,night,control,0.313444734,32.01562119
F13 ,Pre,day  ,AC     ,0.316626906,31.62277603
F13 ,Pre,day  ,AC     ,0.316626906,31.62277603
M17 ,Pre,day  ,AC     ,0.316626906,31.62277603
F04 ,Post,night,AC     ,0.318217993,14.14213562
F04 ,Post,night,AC     ,0.318217993,14.14213562
F10 ,Post,day  ,control,0.324582338,0
F10 ,Post,day  ,control,0.324582338,0
F13 ,Pre,day  ,AC     ,0.334128857,31.62277603
F10 ,Pre,night,control,0.344470978,0
M17 ,Pre,day  ,AC     ,0.347653151,29.15476036
